SampleID,Zip_Code,Ward,Time,Lead_ppb
218,48507,9,First Draw,7.087
218,48507,9,Forty Five Sec,9.467
218,48507,9,Two Min,1.28
219,48505,1,First Draw,1.329
219,48505,1,Forty Five Sec,0.609
219,48505,1,Two Min,0.527
220,48507,9,First Draw,6.2
220,48507,9,Forty Five Sec,0.7
220,48507,9,Two Min,0.6
221,48505,3,First Draw,0.8
221,48505,3,Forty Five Sec,0.26
221,48505,3,Two Min,0.255
222,48503,8,First Draw,9.3
222,48503,8,Forty Five Sec,9.7
222,48503,8,Two Min,5
223,48504,2,First Draw,2.1
223,48504,2,Forty Five Sec,1.2
223,48504,2,Two Min,0.5
224,48505,1,First Draw,4.563
224,48505,1,Forty Five Sec,3.106
224,48505,1,Two Min,2.997
225,48504,2,First Draw,4.808
225,48504,2,Forty Five Sec,6.196
225,48504,2,Two Min,1.523
226,48504,2,First Draw,0.753
226,48504,2,Forty Five Sec,2.526
226,48504,2,Two Min,0.549
227,48505,1,First Draw,1.862
227,48505,1,Forty Five Sec,1.213
227,48505,1,Two Min,0.898
228,48503,7,First Draw,1.183
228,48503,7,Forty Five Sec,0.366
228,48503,7,Two Min,0.201
229,48503,7,First Draw,8.2
229,48503,7,Forty Five Sec,3.2
229,48503,7,Two Min,2.6
230,48504,6,First Draw,3.679
230,48504,6,Forty Five Sec,0.498
230,48504,6,Two Min,0.288
231,48505,1,First Draw,2.37
231,48505,1,Forty Five Sec,7.333
231,48505,1,Two Min,3.797
234,48504,2,First Draw,0.828
234,48504,2,Forty Five Sec,1.318
234,48504,2,Two Min,0.233
235,48503,7,First Draw,0.719
235,48503,7,Forty Five Sec,0.254
235,48503,7,Two Min,0.058
236,48504,1,First Draw,2.822
236,48504,1,Forty Five Sec,1.221
236,48504,1,Two Min,0.258
237,48504,8,First Draw,2.867
237,48504,8,Forty Five Sec,0.723
237,48504,8,Two Min,0.744
238,48503,7,First Draw,2.332
238,48503,7,Forty Five Sec,3.588
238,48503,7,Two Min,1.221
240,48503,8,First Draw,4.401
240,48503,8,Forty Five Sec,2.111
240,48503,8,Two Min,1.572
241,48504,6,First Draw,2.708
241,48504,6,Forty Five Sec,2.238
241,48504,6,Two Min,0.809
242,48504,6,First Draw,34.13
242,48504,6,Forty Five Sec,6.002
242,48504,6,Two Min,1.71
243,48503,7,First Draw,5.218
243,48503,7,Forty Five Sec,2.614
243,48503,7,Two Min,0.831
244,48503,7,First Draw,15.73
244,48503,7,Forty Five Sec,13.95
244,48503,7,Two Min,3.584
245,48504,6,First Draw,3.045
245,48504,6,Forty Five Sec,2.744
245,48504,6,Two Min,0.299
246,48503,7,First Draw,1.1
246,48503,7,Forty Five Sec,0.5
246,48503,7,Two Min,0.3
247,48503,7,First Draw,1.386
247,48503,7,Forty Five Sec,0.288
247,48503,7,Two Min,0.432
248,48504,6,First Draw,0.915
248,48504,6,Forty Five Sec,0.354
248,48504,6,Two Min,0.306
249,48504,6,First Draw,2.145
249,48504,6,Forty Five Sec,0.345
249,48504,6,Two Min,3.738
250,48507,8,First Draw,4.056
250,48507,8,Forty Five Sec,0.547
250,48507,8,Two Min,0.378
251,48503,7,First Draw,1.668
251,48503,7,Forty Five Sec,1.508
251,48503,7,Two Min,2.72
252,48503,7,First Draw,7.575
252,48503,7,Forty Five Sec,1.362
252,48503,7,Two Min,1.094
253,48507,8,First Draw,5.59
253,48507,8,Forty Five Sec,4.306
253,48507,8,Two Min,2.019
254,48503,5,First Draw,0.708
254,48503,5,Forty Five Sec,0.326
254,48503,5,Two Min,0.303
255,48504,6,First Draw,1.701
255,48504,6,Forty Five Sec,4.397
255,48504,6,Two Min,1.287
256,48504,6,First Draw,1.467
256,48504,6,Forty Five Sec,0.149
256,48504,6,Two Min,0.137
258,48504,2,First Draw,2.582
258,48504,2,Forty Five Sec,259.8
258,48504,2,Two Min,61.96
259,48505,2,First Draw,22.08
259,48505,2,Forty Five Sec,15.86
259,48505,2,Two Min,9.262
260,48507,8,First Draw,16.51
260,48507,8,Forty Five Sec,2.024
260,48507,8,Two Min,7.068
262,48507,8,First Draw,56.26
262,48507,8,Forty Five Sec,4.692
262,48507,8,Two Min,1.243
263,48504,6,First Draw,2.433
263,48504,6,Forty Five Sec,1.334
263,48504,6,Two Min,1.376
264,48503,7,First Draw,0.5
